strike,price,yahoo_iv,stock_price,time_to_expiration
150.0,288.73,0.8306999999999999,430.78,0.83
160.0,278.77,0.7857999999999999,430.78,0.83
190.0,242.6,0.5232,430.78,0.83
200.0,232.63,0.495,430.78,0.83
250.0,183.87,0.4015999999999999,430.78,0.83
300.0,140.02,0.3829999999999999,430.78,0.83
325.0,115.22,0.3226,430.78,0.83
330.0,110.92,0.3182,430.78,0.83
340.0,102.6,0.3112,430.78,0.83
345.0,98.49,0.3074,430.78,0.83
350.0,94.26,0.3021,430.78,0.83
355.0,90.45,0.3002,430.78,0.83
360.0,86.25,0.2943,430.78,0.83
365.0,82.34,0.2905,430.78,0.83
370.0,78.42,0.2861,430.78,0.83
375.0,74.77,0.2835,430.78,0.83
380.0,70.76,0.2775,430.78,0.83
385.0,69.7,0.2930999999999999,430.78,0.83
390.0,66.31,0.2903,430.78,0.83
395.0,60.03,0.2664999999999999,430.78,0.83
400.0,56.29,0.2607,430.78,0.83
405.0,52.84,0.2563,430.78,0.83
410.0,49.61,0.253,430.78,0.83
415.0,46.27,0.2483,430.78,0.83
420.0,43.04,0.2438,430.78,0.83
425.0,39.84,0.2387999999999999,430.78,0.83
429.0,37.4,0.2353,430.78,0.83
430.0,36.72,0.2337999999999999,430.78,0.83
431.0,36.22,0.2336,430.78,0.83
432.0,35.47,0.2317,430.78,0.83
433.0,34.92,0.231,430.78,0.83
434.0,34.43,0.2307,430.78,0.83
435.0,33.87,0.2299,430.78,0.83
436.0,33.12,0.2279,430.78,0.83
437.0,32.65,0.2276999999999999,430.78,0.83
438.0,32.03,0.2264,430.78,0.83
439.0,31.39,0.2251,430.78,0.83
440.0,30.97,0.2251,430.78,0.83
441.0,30.32,0.2235,430.78,0.83
442.0,29.72,0.2223,430.78,0.83
443.0,29.15,0.2213,430.78,0.83
444.0,28.62,0.2205,430.78,0.83
445.0,28.12,0.2198,430.78,0.83
446.0,27.61,0.2189999999999999,430.78,0.83
447.0,27.03,0.2178,430.78,0.83
448.0,26.59,0.2173999999999999,430.78,0.83
449.0,25.91,0.2155,430.78,0.83
450.0,25.44,0.2148999999999999,430.78,0.83
451.0,24.93,0.214,430.78,0.83
452.0,24.46,0.2133,430.78,0.83
453.0,23.92,0.2122,430.78,0.83
454.0,23.33,0.2105999999999999,430.78,0.83
455.0,22.95,0.2105,430.78,0.83
456.0,22.48,0.2096,430.78,0.83
457.0,22.03,0.2089,430.78,0.83
458.0,21.44,0.2073,430.78,0.83
459.0,20.94,0.2062,430.78,0.83
460.0,20.46,0.2052,430.78,0.83
461.0,19.98,0.2042,430.78,0.83
462.0,19.59,0.2037,430.78,0.83
464.0,23.52,0.2339,430.78,0.83
465.0,18.18,0.2005,430.78,0.83
466.0,17.69,0.1992,430.78,0.83
467.0,17.36,0.1989999999999999,430.78,0.83
468.0,16.91,0.1979,430.78,0.83
469.0,16.49,0.1969999999999999,430.78,0.83
470.0,16.06,0.196,430.78,0.83
471.0,15.68,0.1953,430.78,0.83
473.0,14.86,0.1932999999999999,430.78,0.83
474.0,14.49,0.1926,430.78,0.83
475.0,14.1,0.1916,430.78,0.83
476.0,13.63,0.1901,430.78,0.83
477.0,13.29,0.1894,430.78,0.83
478.0,12.98,0.1889999999999999,430.78,0.83
480.0,12.23,0.1869,430.78,0.83
485.0,10.65,0.1834,430.78,0.83
489.0,9.48,0.1805999999999999,430.78,0.83
490.0,9.17,0.1796,430.78,0.83
491.0,8.94,0.1793,430.78,0.83
495.0,7.84,0.176,430.78,0.83
500.0,6.69,0.1729,430.78,0.83
508.0,5.19,0.1689999999999999,430.78,0.83
510.0,4.88,0.1682999999999999,430.78,0.83
515.0,4.18,0.1667,430.78,0.83
525.0,2.83,0.1609,430.78,0.83
530.0,2.43,0.1603,430.78,0.83
550.0,1.34,0.1594,430.78,0.83
560.0,1.02,0.1601,430.78,0.83
565.0,0.89,0.1605,430.78,0.83
600.0,0.42,0.1681,430.78,0.83
605.0,0.38,0.1692,430.78,0.83
